海岸名,住所,県名,地域名,釣れる魚,緯度,経度,トイレ,駐車場,注意事項
凡天の鼻,横須賀市秋谷,神奈川県,三浦半島,"メバル, カサゴ, ウミタナゴ, メジナ, メゴチ, シロギス",35.25127,139.59648,あり,あり,
間口港,三浦市南下浦町松輪,神奈川県,三浦半島,"イワシ, アジ, サバ, メバル, メジナ, シロギス, マハゼ, ウミタナゴ, クロダイ",35.14702,139.67067,なし,あり（無料）,立入禁止エリアあり
松輪港,三浦市南下浦町松輪,神奈川県,三浦半島,"ウミタナゴ, メバル, メジナ, メゴチ, シロギス, マハゼ, アジ",35.14702,139.67067,なし,あり（無料）,堤防先端部は立入禁止
真鶴港,足柄下郡真鶴町真鶴,神奈川県,真鶴半島,"メバル, イワシ, メゴチ, シロギス, キュウセン, ムラソイ, カサゴ, カワハギ, メジナ, アオリイカ",35.15475,139.13829,あり,あり（無料）,立入禁止エリアあり
三崎港,三浦市三崎、向ケ崎町、晴海町,神奈川県,三浦半島,"アジ, イワシ, メバル, ウミタナゴ, シロギス, カレイ, メジナ, クロダイ, アオリイカ, ヤリイカ",35.14215,139.62024,あり,あり（無料）,釣り禁止、立入禁止エリアあり
水江町公園,川崎市川崎区水江町,神奈川県,東京湾,"シロギス, イシモチ, ハゼ, アナゴ, メバル, スズキ",35.50921,139.74126,なし,あり（無料）,
三ツ石,足柄下郡真鶴町真鶴,神奈川県,真鶴半島,"メジナ, イシダイ, アオリイカ",35.15475,139.13829,なし,あり（無料）,
三戸海岸,三浦市初声町三戸,神奈川県,三浦半島,"シロギス, メゴチ, カレイ",35.17746,139.62552,あり,あり（夏季有料）,
三戸浜堤防,三浦市初声町三戸,神奈川県,三浦半島,"メバル, カサゴ, メジナ, クロダイ, アジ, イワシ, シロギス, カレイ, ハゼ, アオリイカ",35.17746,139.62552,あり,あり（夏季有料）,
三春町岸壁・大津港,横須賀市三春町,神奈川県,東京湾,"メバル, ウミタナゴ, マハゼ, イシモチ, シロギス, カレイ, イワシ, ソウダガツオ, スズキ, クロダイ",35.2682,139.68312,あり,あり（有料）,
宮川港,三浦市三崎町六合、宮川町,神奈川県,三浦半島,"メジナ, メバル, ウミタナゴ, マハゼ, クロダイ, アオリイカ",35.1522,139.63844,あり,あり（有料）1000円,釣り禁止エリアあり。駐車場は平日500円
諸磯,三浦市三崎町諸磯,神奈川県,三浦半島,"マハゼ, メゴチ, シロギス, カレイ, メバル, メジナ, クロダイ, アオリイカ",35.15325,139.62354,あり,あり（有料）1000円,
屋志倉,三浦市三崎町諸磯,神奈川県,三浦半島,"メバル, ウミタナゴ, メジナ, クロダイ, シロギス",35.15325,139.62354,なし,なし,
柳島海岸,茅ヶ崎市柳島,神奈川県,湘南,"シロギス, ハゼ, イシモチ, シーバス, ワカシ",35.31953,139.37675,あり,なし,
矢作の磯,三浦市初声町和田,神奈川県,三浦半島,"メバル, カサゴ, メジナ, クロダイ, シロギス, メゴチ",35.19423,139.63034,あり,あり（無料）,
山下公園,横浜市中区山下町,神奈川県,東京湾,"マハゼ, メバル, セイゴ",35.44299,139.64734,あり,あり（有料）,投げ釣り禁止
湯河原海浜公園,足柄下郡湯河原町門川、吉浜,神奈川県,西湘,"メバル, メジナ, セイゴ, アジ, サバ, イワシ, カマス, クロダイ, アオリイカ",35.14348,139.11137,あり,あり（有料）,駐車場の料金は、夏以外は30分100円
横浜港・沖赤灯,横浜市鶴見区大黒ふ頭,神奈川県,東京湾,"クロダイ, カレイ, アイナメ, メバル, スズキ",35.46225,139.68285,なし,なし,
横浜港・沖白灯,横浜市中区本牧ふ頭,神奈川県,東京湾,"クロダイ, メバル, アイナメ, カレイ, スズキ",35.44,139.67616,なし,なし,
横浜港・旧赤灯,横浜市神奈川区鈴繁町,神奈川県,東京湾,"クロダイ, メバル, アイナメ, カレイ, サヨリ, スズキ",35.47132,139.65063,なし,なし,
横堀海岸,三浦市三崎町小網代,神奈川県,三浦半島,"メバル, シロギス, カレイ, メジナ",35.1588,139.63724,あり,あり（有料）1000円,
臨港パーク,横浜市西区みなとみらい,神奈川県,東京湾,"メバル, マハゼ, カレイ, シロギス, スズキ",35.46084,139.6355,あり,あり（有料）,投げ釣り禁止
和田長浜海岸,三浦市初声町和田、横須賀市長井,神奈川県,三浦半島,"シロギス, メゴチ, カレイ, メバル",35.19423,139.63034,あり,あり（無料）,
